iter	Logloss
161	0.3094792881
162	0.3091075053
163	0.3088181056
164	0.3084459666
165	0.308140184
166	0.3078270347
167	0.3076053971
168	0.3072756024
169	0.3071311931
170	0.3069263695
171	0.3066876555
172	0.3063886772
173	0.3061030264
174	0.3058794206
175	0.3055218838
176	0.3052238052
177	0.3049704891
178	0.3046852319
179	0.3043577241
180	0.3041564433
181	0.3038711299
182	0.3035834359
183	0.3033597551
184	0.3031396546
185	0.3028809212
186	0.3026579528
187	0.302449399
188	0.3022709493
189	0.3020366215
190	0.301821732
191	0.3016440695
192	0.3014776539
193	0.3012634954
194	0.3010231694
195	0.300797183
196	0.3006030252
197	0.3004024192
198	0.3001679977
199	0.2999768578
200	0.2997753145
201	0.2996239134
202	0.2994473756
203	0.2992207332
204	0.2989900419
205	0.2987812257
206	0.2986024573
207	0.2983710162
208	0.2982566359
209	0.2980657397
210	0.2979094837
211	0.2977066096
212	0.2975607944
213	0.2974303874
214	0.2973034294
215	0.2970696827
216	0.2968861906
217	0.2967227554
218	0.2965348583
219	0.2963885745
220	0.2962845038
221	0.2960752752
222	0.295921681
223	0.2957408881
224	0.2955434125
225	0.29534365
226	0.2951922489
227	0.2950559747
228	0.2949216501
229	0.2947748789
230	0.2946787747
231	0.2945109532
232	0.2943906121
233	0.2942769441
234	0.2941507172
235	0.2940069264
236	0.2938922649
237	0.2937579403
238	0.293605302
239	0.2934873415
240	0.2933151899
241	0.2931635451
242	0.292999885
243	0.2929046056
244	0.292797517
245	0.2926632673
246	0.2925448944
247	0.2923957801
248	0.2922684285
249	0.2921916313
250	0.2920916095
251	0.2920089828
252	0.2918630364
253	0.2917592094
254	0.2915881263
255	0.2914706906
256	0.2913510805
257	0.2912494467
258	0.2911730807
259	0.290987939
260	0.2908813191
261	0.2907578476
262	0.2906183306
263	0.2904598253
264	0.2902969336
265	0.2902192368
266	0.2901069371
267	0.2899515996
268	0.2898176686
269	0.2897071685
270	0.2895875022
271	0.2894969839
272	0.2894231859
273	0.2893097616
274	0.2892356262
275	0.2891230267
276	0.2890300154
277	0.2888937225
278	0.2887955752
279	0.2887076249
280	0.2885862341
281	0.2884853313
282	0.2883623659
283	0.2883017267
284	0.2882173942
285	0.2881298939
286	0.2880396943
287	0.2879592607
288	0.2878429684
289	0.2877545683
290	0.2876706857
291	0.287595763
292	0.2875094811
293	0.2874115212
294	0.2873237584
295	0.287258508
296	0.2871612791
297	0.2870316406
298	0.2869524817
299	0.2868891058
300	0.2867724011
301	0.2866973473
302	0.2866424627
303	0.2865584864
304	0.2864551655
305	0.2863422473
306	0.2862770344
307	0.286168315
308	0.2860824829
309	0.2859803992
310	0.2859031709
311	0.2858632072
312	0.2857866912
313	0.2857344122
314	0.2856312975
315	0.2855422226
316	0.2854489488
317	0.2853529196
318	0.2852963668
319	0.2851720893
320	0.2850769411
321	0.28504067
322	0.2849851294
323	0.2849244528
324	0.2848508423
325	0.2847860792
326	0.28470797
327	0.2846095415
328	0.2845599429
329	0.2845035401
330	0.284420351
331	0.2843489523
332	0.2843335067
333	0.2842837957
334	0.2841913467
335	0.2840428698
336	0.283998651
337	0.2838925371
338	0.2838340348
339	0.2837791315
340	0.2836544417
341	0.2835582063
342	0.283505796
343	0.2834256811
344	0.2833650419
345	0.2832949741
346	0.2832007819
347	0.2831688784
348	0.2830999166
349	0.2830287429
350	0.2829603996
351	0.2829114759
352	0.2828314172
353	0.2827392869
354	0.2826790976
355	0.2826211389
356	0.2825103388
357	0.2824642456
358	0.2823902789
359	0.2823296022
360	0.2822630397
361	0.2821935156
362	0.2821292774
363	0.2820717686
364	0.2820326671
365	0.281986124
366	0.2818724935
367	0.2818040002
368	0.2817330515
369	0.2816623276
370	0.2815404869
371	0.2814460698
372	0.2813551954
373	0.2812601221
374	0.2812151911
375	0.2811494346
376	0.2810571168
377	0.2810187276
378	0.2809167563
379	0.2808641774
380	0.2808064811
381	0.2807749338
382	0.280680929
383	0.2806365415
384	0.280559257
385	0.280497943
386	0.2804396095
387	0.2803787079
388	0.280309015
389	0.2802578231
390	0.2802159287
391	0.2801494599
392	0.2800856904
393	0.2800121923
394	0.2799735782
395	0.2799242421
396	0.2798307809
397	0.2797654368
398	0.2797347329
399	0.2797083591
400	0.279685603
401	0.2796465578
402	0.2795934165
403	0.2795275475
404	0.2794680331
405	0.2794419966
406	0.2794136921
407	0.2793532029
408	0.2792761808
409	0.2792285317
410	0.2791904425
411	0.2791346769
412	0.2790864655
413	0.2790385915
414	0.2789675865
415	0.2788950444
416	0.2788172351
417	0.2787798581
418	0.2787500165
419	0.2787158824
420	0.2787014489
421	0.2786453647
422	0.278640866
423	0.2785888494
424	0.2785234303
425	0.2784455272
426	0.2783960974
427	0.2783554589
428	0.2783167323
429	0.2782897586
430	0.2782268701
431	0.2781677492
432	0.2781329965
433	0.2780984125
434	0.2780436779
435	0.2780134614
436	0.2779762719
437	0.2779252487
438	0.2778639535
439	0.2778116932
440	0.2777639692
441	0.277705017
442	0.2776298882
443	0.2776022397
444	0.2775791837
445	0.2775264923
446	0.2774810176
447	0.277428045
448	0.2773916428
449	0.2773321283
450	0.2773113779
451	0.2772446654
452	0.2772197162
453	0.2771558342
454	0.277114727
455	0.277063985
456	0.2770414914
457	0.2770270767
458	0.2769860257
459	0.2769696054
460	0.2768772501
461	0.2768426661
462	0.2768012965
463	0.2767788216
464	0.2767439002
465	0.276711678
466	0.2766805618
467	0.2766526696
468	0.2766458465
469	0.2765936237
470	0.276566875
471	0.2765280547
472	0.2764656723
473	0.2764376864
474	0.2764035148
475	0.2763490051
476	0.2762923211
477	0.2762506141
478	0.2761817085
479	0.2761380145
480	0.2760745449
481	0.2760185357
482	0.2759691246
483	0.2759145775
484	0.2759034618
485	0.275902056
486	0.2758851857
487	0.2758428414
488	0.2758112566
489	0.2757525481
490	0.2757440567
491	0.2757198573
492	0.2756633982
493	0.2756023654
494	0.2755736297
495	0.2755141902
496	0.2754798499
497	0.2754271022
498	0.2753958548
499	0.2753278302
500	0.2752861044
501	0.2752672847
502	0.2752450347
503	0.2752123627
504	0.2751986791
505	0.2751842831
506	0.2751540854
507	0.2751366903
508	0.275120626
509	0.2750974201
510	0.2750655915
511	0.2750399113
512	0.2749875947
513	0.2749680253
514	0.2749241439
515	0.2748920154
516	0.2748303828
517	0.2748014034
518	0.2747765292
519	0.2747333788
520	0.27468931
521	0.2746643608
522	0.2746204231
523	0.2745906378
524	0.2745616584
525	0.2745284615
526	0.2744951334
527	0.2744659854
528	0.2744559195
529	0.274438037
530	0.2744038091
531	0.2743578283
532	0.2743166087
533	0.2742785944
534	0.274235444
535	0.2742031094
536	0.2741870827
537	0.2741447009
538	0.2741133972
539	0.2740668728
540	0.274057969
541	0.2740406114
542	0.2739913878
543	0.2739783789
544	0.2739410395
545	0.2739251814
546	0.2738978704
547	0.2738584127
548	0.2738213357
549	0.2738063024
550	0.2737514741
551	0.2737266186
552	0.2737060931
553	0.2736769451
554	0.2736355192
555	0.27358832
556	0.2735127788
557	0.2734433484
558	0.2734236289
559	0.2733791102
560	0.2733530738
561	0.2733124165
562	0.2732892667
563	0.2732709157
564	0.2732452354
565	0.273218093
566	0.2731564979
567	0.2731375095
568	0.2731077241
569	0.2730442732
570	0.2730266344
571	0.2730099142
572	0.2729861646
573	0.2729761362
574	0.2729622276
575	0.2729415709
576	0.2729163218
577	0.2728889545
578	0.2728401994
579	0.2728155127
580	0.2727991298
581	0.2727849962
582	0.2727672637
583	0.272728181
584	0.2727135039
585	0.2726738775
586	0.2726451794
587	0.2726213923
588	0.272592338
589	0.2725608094
590	0.2725396841
591	0.272522364
592	0.2724949592
593	0.2724723905
594	0.2724434487
595	0.272391807
596	0.2723537927
597	0.2723399778
598	0.2723300993
599	0.2722990956
600	0.2722478288
601	0.2722273595
602	0.2721219205
603	0.2720955279
604	0.2720697914
605	0.2720430802
606	0.2720185433
607	0.2720130324
608	0.2719870897
609	0.2719589913
610	0.2719247822
611	0.2718496721
612	0.2717944127
613	0.2717386284
614	0.2717217207
615	0.27167096
616	0.2716656365
617	0.2716430678
618	0.2715741997
619	0.271551706
620	0.2714550395
621	0.2714499972
622	0.2714412621
623	0.2714331832
624	0.271420343
625	0.2713730126
626	0.2713507064
627	0.2713174907
628	0.2712911919
629	0.2712566454
630	0.2712233173
631	0.2712133638
632	0.2712017796
633	0.2711617783
634	0.2710862746
635	0.2710687108
636	0.2710342205
637	0.270988146
638	0.2709574609
639	0.2709210399
640	0.2708962031
641	0.2708656867
642	0.2708372697
643	0.2707960688
644	0.2707911577
645	0.2707613536
646	0.2707135546
647	0.2706647433
648	0.2706048164
649	0.2705945068
650	0.2705812918
651	0.2705410094
652	0.2705196029
653	0.2704915046
654	0.2704745406
655	0.2704621129
656	0.270402111
657	0.2703727755
658	0.2703177785
659	0.2702923794
660	0.2702738034
661	0.270245199
662	0.2702401004
663	0.270225592
664	0.270209584
665	0.2702013363
666	0.2701858907
667	0.2701732567
668	0.2701332367
669	0.2701260013
670	0.2700952974
671	0.2700714166
672	0.270047817
673	0.2700240112
674	0.2700077596
675	0.2699616101
676	0.2699327619
677	0.2699067068
678	0.2698891805
679	0.2698539029
680	0.2698270792
681	0.2698215682
682	0.2697781555
683	0.269762185
684	0.2697398038
685	0.2697032516
686	0.2696739723
687	0.2696693424
688	0.2696342522
689	0.2696204936
690	0.2695954132
691	0.2695564429
692	0.2695078941
693	0.2695058696
694	0.2694798145
695	0.2694303659
696	0.2694092594
697	0.2693781056
