error	steps
6751522.0	319.0
6751522.0	320.0
6751522.0	321.0
6751522.0	322.0
6751522.0	323.0
6751522.0	324.0
6751522.0	325.0
6751522.0	326.0
6751522.0	327.0
6751522.0	328.0
6751522.0	329.0
6751522.0	330.0
6751522.0	331.0
6751522.0	332.0
6751522.0	333.0
6751522.0	334.0
6751522.0	335.0
6751522.0	336.0
6751522.0	337.0
6751522.0	338.0
6751522.0	339.0
6751522.0	340.0
6751522.0	341.0
6751522.0	342.0
6751522.0	343.0
6751522.0	344.0
6751522.0	345.0
6751522.0	346.0
6751522.0	347.0
6751522.0	348.0
6751522.0	349.0
6751522.0	350.0
6751522.0	351.0
6751522.0	352.0
6751522.0	353.0
6751522.0	354.0
6751522.0	355.0
6751522.0	356.0
6751522.0	357.0
6751522.0	358.0
6751522.0	359.0
6751522.0	360.0
6751522.0	361.0
6751522.0	362.0
6751522.0	363.0
6751522.0	364.0
6751522.0	365.0
6751522.0	366.0
6751522.0	367.0
6751522.0	368.0
6751522.0	369.0
6751522.0	370.0
6751522.0	371.0
6751522.0	372.0
6751522.0	373.0
6751522.0	374.0
6751522.0	375.0
6751522.0	376.0
6751522.0	377.0
6751522.0	378.0
6751522.0	379.0
6751522.0	380.0
6751522.0	381.0
6751522.0	382.0
6751522.0	383.0
6751522.0	384.0
6751522.0	385.0
6751522.0	386.0
6751522.0	387.0
6751522.0	388.0
6751522.0	389.0
6751522.0	390.0
6751522.0	391.0
6751522.0	392.0
6751522.0	393.0
6751522.0	394.0
6751522.0	395.0
6751522.0	396.0
6751522.0	397.0
6751522.0	398.0
6751522.0	399.0
6751522.0	400.0
6751522.0	401.0
6751522.0	402.0
6751522.0	403.0
6751522.0	404.0
6751522.0	405.0
6751522.0	406.0
6751522.0	407.0
6751522.0	408.0
6751522.0	409.0
6751522.0	410.0
6751522.0	411.0
6751522.0	412.0
6751522.0	413.0
6751522.0	414.0
6751522.0	415.0
6751522.0	416.0
6751522.0	417.0
6751522.0	418.0
6751522.0	419.0
6751522.0	420.0
6751522.0	421.0
6751522.0	422.0
6751522.0	423.0
6751522.0	424.0
6751522.0	425.0
6751522.0	426.0
6751522.0	427.0
6751522.0	428.0
6751522.0	429.0
6751522.0	430.0
6751522.0	431.0
6751522.0	432.0
6751522.0	433.0
6751522.0	434.0
6751522.0	435.0
6751522.0	436.0
6751522.0	437.0
6751522.0	438.0
6751522.0	439.0
6751522.0	440.0
6751522.0	441.0
6751522.0	442.0
6751522.0	443.0
6751522.0	444.0
6751522.0	445.0
6751522.0	446.0
6751522.0	447.0
6751522.0	448.0
6751522.0	449.0
6751522.0	450.0
6751522.0	451.0
6751522.0	452.0
6751522.0	453.0
6751522.0	454.0
6751522.0	455.0
6751522.0	456.0
6751522.0	457.0
6751522.0	458.0
6751522.0	459.0
6751522.0	460.0
6751522.0	461.0
6751522.0	462.0
6751522.0	463.0
6751522.0	464.0
6751522.0	465.0
6751522.0	466.0
6751522.0	467.0
6751522.0	468.0
6751522.0	469.0
6751522.0	470.0
6751522.0	471.0
6751522.0	472.0
6751522.0	473.0
6751522.0	474.0
6751522.0	475.0
6751522.0	476.0
6751522.0	477.0
6751522.0	478.0
6751522.0	479.0
6751522.0	480.0
6751522.0	481.0
6751522.0	482.0
6751522.0	483.0
6751522.0	484.0
6751522.0	485.0
6751522.0	486.0
6751522.0	487.0
6751522.0	488.0
6751522.0	489.0
6751522.0	490.0
6751522.0	491.0
6751522.0	492.0
6751522.0	493.0
6751522.0	494.0
6751522.0	495.0
6751522.0	496.0
6751522.0	497.0
6751522.0	498.0
6751522.0	499.0
6751522.0	500.0
6751522.0	501.0
6751522.0	502.0
6751522.0	503.0
6751522.0	504.0
6751522.0	505.0
6751522.0	506.0
6751522.0	507.0
6751522.0	508.0
6751522.0	509.0
6751522.0	510.0
6751522.0	511.0
6751522.0	512.0
6751522.0	513.0
6751522.0	514.0
6751522.0	515.0
6751522.0	516.0
6751522.0	517.0
6751522.0	518.0
6751522.0	519.0
6751522.0	520.0
6751522.0	521.0
6751522.0	522.0
6751522.0	523.0
6751522.0	524.0
6751522.0	525.0
6751522.0	526.0
6751522.0	527.0
6751522.0	528.0
6751522.0	529.0
6751522.0	530.0
6751522.0	531.0
6751522.0	532.0
6751522.0	533.0
6751522.0	534.0
6751522.0	535.0
6751522.0	536.0
6751522.0	537.0
6751522.0	538.0
6751522.0	539.0
6751522.0	540.0
6751522.0	541.0
6751522.0	542.0
6751522.0	543.0
6751522.0	544.0
6751522.0	545.0
6751522.0	546.0
6751522.0	547.0
6751522.0	548.0
6751522.0	549.0
6751522.0	550.0
6751522.0	551.0
6751522.0	552.0
6751522.0	553.0
6751522.0	554.0
6751522.0	555.0
6751522.0	556.0
6751522.0	557.0
6751522.0	558.0
6751522.0	559.0
6751522.0	560.0
6751522.0	561.0
6751522.0	562.0
6751522.0	563.0
6751522.0	564.0
6751522.0	565.0
6751522.0	566.0
6751522.0	567.0
6751522.0	568.0
6751522.0	569.0
6751522.0	570.0
6751522.0	571.0
6751522.0	572.0
6751522.0	573.0
6751522.0	574.0
6751522.0	575.0
6751522.0	576.0
6751522.0	577.0
6751522.0	578.0
6751522.0	579.0
6751522.0	580.0
6751522.0	581.0
6751522.0	582.0
6751522.0	583.0
6751522.0	584.0
6751522.0	585.0
6751522.0	586.0
6751522.0	587.0
6751522.0	588.0
6751522.0	589.0
6751522.0	590.0
6751522.0	591.0
6751522.0	592.0
6751522.0	593.0
6751522.0	594.0
6751522.0	595.0
6751522.0	596.0
6751522.0	597.0
6751522.0	598.0
6751522.0	599.0
6751522.0	600.0
6751522.0	601.0
6751522.0	602.0
6751522.0	603.0
6751522.0	604.0
6751522.0	605.0
6751522.0	606.0
6751522.0	607.0
6751522.0	608.0
6751522.0	609.0
6751522.0	610.0
6751522.0	611.0
6751522.0	612.0
6751522.0	613.0
6751522.0	614.0
6751522.0	615.0
6751522.0	616.0
6751522.0	617.0
6751522.0	618.0
6751522.0	619.0
6751522.0	620.0
6751522.0	621.0
6751522.0	622.0
6751522.0	623.0
6751522.0	624.0
6751522.0	625.0
6751522.0	626.0
6751522.0	627.0
6751522.0	628.0
6751522.0	629.0
6751522.0	630.0
6751522.0	631.0
6751522.0	632.0
6751522.0	633.0
6751522.0	634.0
6751522.0	635.0
6751522.0	636.0
6751522.0	637.0
6751522.0	638.0
6751522.0	639.0
6751522.0	640.0
6751522.0	641.0
6751522.0	642.0
6751522.0	643.0
6751522.0	644.0
6751522.0	645.0
6751522.0	646.0
6751522.0	647.0
6751522.0	648.0
6751522.0	649.0
6751522.0	650.0
6751522.0	651.0
6751522.0	652.0
6751522.0	653.0
6751522.0	654.0
6751522.0	655.0
6751522.0	656.0
6751522.0	657.0
6751522.0	658.0
6751522.0	659.0
6751522.0	660.0
6751522.0	661.0
6751522.0	662.0
6751522.0	663.0
6751522.0	664.0
6751522.0	665.0
6751522.0	666.0
6751522.0	667.0
6751522.0	668.0
6751522.0	669.0
6751522.0	670.0
6751522.0	671.0
6751522.0	672.0
6751522.0	673.0
6751522.0	674.0
6751522.0	675.0
6751522.0	676.0
6751522.0	677.0
6751522.0	678.0
6751522.0	679.0
6751522.0	680.0
6751522.0	681.0
6751522.0	682.0
6751522.0	683.0
6751522.0	684.0
6751522.0	685.0
6751522.0	686.0
6751522.0	687.0
6751522.0	688.0
6751522.0	689.0
6751522.0	690.0
6751522.0	691.0
6751522.0	692.0
6751522.0	693.0
6751522.0	694.0
6751522.0	695.0
6751522.0	696.0
6751522.0	697.0
6751522.0	698.0
6751522.0	699.0
6751522.0	700.0
6751522.0	701.0
6751522.0	702.0
6751522.0	703.0
6751522.0	704.0
6751522.0	705.0
6751522.0	706.0
6751522.0	707.0
6751522.0	708.0
6751522.0	709.0
6751522.0	710.0
6751522.0	711.0
6751522.0	712.0
6751522.0	713.0
6751522.0	714.0
6751522.0	715.0
6751522.0	716.0
6751522.0	717.0
6751522.0	718.0
6751522.0	719.0
6751522.0	720.0
6751522.0	721.0
6751522.0	722.0
6751522.0	723.0
6751522.0	724.0
6751522.0	725.0
6751522.0	726.0
6751522.0	727.0
6751522.0	728.0
6751522.0	729.0
6751522.0	730.0
6751522.0	731.0
6751522.0	732.0
6751522.0	733.0
6751522.0	734.0
6751522.0	735.0
6751522.0	736.0
6751522.0	737.0
6751522.0	738.0
6751522.0	739.0
6751522.0	740.0
6751522.0	741.0
6751522.0	742.0
6751522.0	743.0
6751522.0	744.0
6751522.0	745.0
6751522.0	746.0
6751522.0	747.0
6751522.0	748.0
6751522.0	749.0
6751522.0	750.0
6751522.0	751.0
6751522.0	752.0
6751522.0	753.0
6751522.0	754.0
6751522.0	755.0
6751522.0	756.0
6751522.0	757.0
6751522.0	758.0
6751522.0	759.0
6751522.0	760.0
6751522.0	761.0
6751522.0	762.0
6751522.0	763.0
6751522.0	764.0
6751522.0	765.0
6751522.0	766.0
6751522.0	767.0
6751522.0	768.0
6751522.0	769.0
6751522.0	770.0
6751522.0	771.0
6751522.0	772.0
6751522.0	773.0
6751522.0	774.0
6751522.0	775.0
6751522.0	776.0
6751522.0	777.0
6751522.0	778.0
6751522.0	779.0
6751522.0	780.0
6751522.0	781.0
6751522.0	782.0
6751522.0	783.0
6751522.0	784.0
6751522.0	785.0
6751522.0	786.0
6751522.0	787.0
6751522.0	788.0
6751522.0	789.0
6751522.0	790.0
6751522.0	791.0
6751522.0	792.0
6751522.0	793.0
6751522.0	794.0
6751522.0	795.0
6751522.0	796.0
6751522.0	797.0
6751522.0	798.0
6751522.0	799.0
6751522.0	800.0
6751522.0	801.0
6751522.0	802.0
6751522.0	803.0
6751522.0	804.0
6751522.0	805.0
6751522.0	806.0
6751522.0	807.0
6751522.0	808.0
6751522.0	809.0
6751522.0	810.0
6751522.0	811.0
6751522.0	812.0
6751522.0	813.0
6751522.0	814.0
6751522.0	815.0
6751522.0	816.0
6751522.0	817.0
6751522.0	818.0
6751522.0	819.0
6751522.0	820.0
6751522.0	821.0
6751522.0	822.0
6751522.0	823.0
6751522.0	824.0
6751522.0	825.0
6751522.0	826.0
6751522.0	827.0
6751522.0	828.0
6751522.0	829.0
6751522.0	830.0
6751522.0	831.0
6751522.0	832.0
6751522.0	833.0
6751522.0	834.0
6751522.0	835.0
6751522.0	836.0
6751522.0	837.0
6751522.0	838.0
6751522.0	839.0
6751522.0	840.0
6751522.0	841.0
6751522.0	842.0
6751522.0	843.0
6751522.0	844.0
6751522.0	845.0
6751522.0	846.0
6751522.0	847.0
6751522.0	848.0
6751522.0	849.0
6751522.0	850.0
6751522.0	851.0
6751522.0	852.0
6751522.0	853.0
6751522.0	854.0
6751522.0	855.0
6751522.0	856.0
6751522.0	857.0
6751522.0	858.0
6751522.0	859.0
6751522.0	860.0
6751522.0	861.0
6751522.0	862.0
6751522.0	863.0
6751522.0	864.0
6751522.0	865.0
6751522.0	866.0
6751522.0	867.0
6751522.0	868.0
6751522.0	869.0
6751522.0	870.0
6751522.0	871.0
6751522.0	872.0
6751522.0	873.0
6751522.0	874.0
6751522.0	875.0
6751522.0	876.0
6751522.0	877.0
6751522.0	878.0
6751522.0	879.0
6751522.0	880.0
6751522.0	881.0
6751522.0	882.0
6751522.0	883.0
6751522.0	884.0
6751522.0	885.0
6751522.0	886.0
6751522.0	887.0
6751522.0	888.0
6751522.0	889.0
6751522.0	890.0
6751522.0	891.0
6751522.0	892.0
6751522.0	893.0
6751522.0	894.0
6751522.0	895.0
6751522.0	896.0
6751522.0	897.0
6751522.0	898.0
6751522.0	899.0
6751522.0	900.0
6751522.0	901.0
6751522.0	902.0
6751522.0	903.0
6751522.0	904.0
6751522.0	905.0
6751522.0	906.0
6751522.0	907.0
6751522.0	908.0
6751522.0	909.0
6751522.0	910.0
6751522.0	911.0
6751522.0	912.0
6751522.0	913.0
6751522.0	914.0
6751522.0	915.0
6751522.0	916.0
6751522.0	917.0
6751522.0	918.0
6751522.0	919.0
6751522.0	920.0
6751522.0	921.0
6751522.0	922.0
6751522.0	923.0
6751522.0	924.0
6751522.0	925.0
6751522.0	926.0
6751522.0	927.0
6751522.0	928.0
6751522.0	929.0
6751522.0	930.0
6751522.0	931.0
6751522.0	932.0
6751522.0	933.0
6751522.0	934.0
6751522.0	935.0
6751522.0	936.0
6751522.0	937.0
6751522.0	938.0
6751522.0	939.0
6751522.0	940.0
6751522.0	941.0
6751522.0	942.0
6751522.0	943.0
6751522.0	944.0
6751522.0	945.0
6751522.0	946.0
6751522.0	947.0
6751522.0	948.0
6751522.0	949.0
6751522.0	950.0
6751522.0	951.0
6751522.0	952.0
6751522.0	953.0
6751522.0	954.0
6751522.0	955.0
6751522.0	956.0
6751522.0	957.0
6751522.0	958.0
6751522.0	959.0
6751522.0	960.0
6751522.0	961.0
6751522.0	962.0
6751522.0	963.0
6751522.0	964.0
6751522.0	965.0
6751522.0	966.0
6751522.0	967.0
6751522.0	968.0
6751522.0	969.0
6751522.0	970.0
6751522.0	971.0
6751522.0	972.0
6751522.0	973.0
6751522.0	974.0
6751522.0	975.0
6751522.0	976.0
6751522.0	977.0
6751522.0	978.0
6751522.0	979.0
6751522.0	980.0
6751522.0	981.0
6751522.0	982.0
6751522.0	983.0
6751522.0	984.0
6751522.0	985.0
6751522.0	986.0
6751522.0	987.0
6751522.0	988.0
6751522.0	989.0
6751522.0	990.0
6751522.0	991.0
6751522.0	992.0
6751522.0	993.0
6751522.0	994.0
6751522.0	995.0
6751522.0	996.0
6751522.0	997.0
6751522.0	998.0
6751522.0	999.0
6751522.0	1000.0
6751522.0	1001.0
6751522.0	1002.0
6751522.0	1003.0
6751522.0	1004.0
6751522.0	1005.0
6751522.0	1006.0
6751522.0	1007.0
6751522.0	1008.0
6751522.0	1009.0
6751522.0	1010.0
6751522.0	1011.0
6751522.0	1012.0
6751522.0	1013.0
6751522.0	1014.0
6751522.0	1015.0
6751522.0	1016.0
6751522.0	1017.0
6751522.0	1018.0
6751522.0	1019.0
6751522.0	1020.0
6751522.0	1021.0
6751522.0	1022.0
6751522.0	1023.0
6751522.0	1024.0
6751522.0	1025.0
6751522.0	1026.0
6751522.0	1027.0
6751522.0	1028.0
6751522.0	1029.0
6751522.0	1030.0
6751522.0	1031.0
6751522.0	1032.0
6751522.0	1033.0
6751522.0	1034.0
6751522.0	1035.0
6751522.0	1036.0
6751522.0	1037.0
6751522.0	1038.0
6751522.0	1039.0
6751522.0	1040.0
6751522.0	1041.0
6751522.0	1042.0
6751522.0	1043.0
6751522.0	1044.0
6751522.0	1045.0
6751522.0	1046.0
6751522.0	1047.0
6751522.0	1048.0
6751522.0	1049.0
6751522.0	1050.0
6751522.0	1051.0
6751522.0	1052.0
6751522.0	1053.0
6751522.0	1054.0
6751522.0	1055.0
6751522.0	1056.0
6751522.0	1057.0
6751522.0	1058.0
6751522.0	1059.0
6751522.0	1060.0
6751522.0	1061.0
6751522.0	1062.0
6751522.0	1063.0
6751522.0	1064.0
6751522.0	1065.0
6751522.0	1066.0
6751522.0	1067.0
6751522.0	1068.0
6751522.0	1069.0
6751522.0	1070.0
6751522.0	1071.0
6751522.0	1072.0
