error	steps
16357591134.5	290.0
16357591134.5	291.0
16357591134.5	292.0
16357591134.5	293.0
16357591134.5	294.0
16311115011.5	295.0
16304928643.5	296.0
16300734424.0	297.0
16299492607.0	298.0
16299492607.0	299.0
16299492607.0	300.0
16296572825.0	301.0
16295569133.0	302.0
16295569133.0	303.0
16294796376.0	304.0
16294796376.0	305.0
16285616146.0	306.0
16285616146.0	307.0
16279456372.0	308.0
16279456372.0	309.0
16279456372.0	310.0
16279456372.0	311.0
16269525172.0	312.0
16266588606.0	313.0
16266588606.0	314.0
16266588606.0	315.0
16266588606.0	316.0
16264322917.0	317.0
16261480562.0	318.0
16261480562.0	319.0
16261084275.0	320.0
16252806999.0	321.0
16252806999.0	322.0
16252806999.0	323.0
16252806999.0	324.0
16252806999.0	325.0
16252806999.0	326.0
16252806999.0	327.0
16252277558.0	328.0
16252277558.0	329.0
16252277558.0	330.0
16252277558.0	331.0
16251338501.0	332.0
16251338501.0	333.0
16251338501.0	334.0
16251338501.0	335.0
16217154290.0	336.0
16217154290.0	337.0
16217154290.0	338.0
16217154290.0	339.0
16212697402.0	340.0
16212697402.0	341.0
16212697402.0	342.0
16212697402.0	343.0
16212697402.0	344.0
16212697402.0	345.0
16212697402.0	346.0
16212697402.0	347.0
16212697402.0	348.0
16212697402.0	349.0
16206364504.0	350.0
16206364504.0	351.0
16206364504.0	352.0
16206364504.0	353.0
16197931186.0	354.0
16197931186.0	355.0
16197931186.0	356.0
16197931186.0	357.0
16197931186.0	358.0
16197931186.0	359.0
16197931186.0	360.0
16197931186.0	361.0
16197931186.0	362.0
16197931186.0	363.0
16197931186.0	364.0
16197931186.0	365.0
16197931186.0	366.0
16197931186.0	367.0
16190100062.0	368.0
16190100062.0	369.0
16190100062.0	370.0
16190100062.0	371.0
16187192663.0	372.0
16180835435.0	373.0
16180835435.0	374.0
16180835435.0	375.0
16169566821.0	376.0
16169566821.0	377.0
16165682581.0	378.0
16165682581.0	379.0
16165682581.0	380.0
16165682581.0	381.0
16165682581.0	382.0
16165682581.0	383.0
16162934998.5	384.0
16162934998.5	385.0
16162934998.5	386.0
16162934998.5	387.0
16162934998.5	388.0
16161845681.0	389.0
16159801578.0	390.0
16159801578.0	391.0
16159801578.0	392.0
16159801578.0	393.0
16159801578.0	394.0
16159801578.0	395.0
16156276443.0	396.0
16146936547.0	397.0
16123233878.0	398.0
16123233878.0	399.0
16109640225.5	400.0
16109640225.5	401.0
16109640225.5	402.0
16109640225.5	403.0
16109640225.5	404.0
16109640225.5	405.0
16109640225.5	406.0
16109640225.5	407.0
16109640225.5	408.0
16109640225.5	409.0
16109640225.5	410.0
16109640225.5	411.0
16106186565.5	412.0
16106186565.5	413.0
16106186565.5	414.0
16106186565.5	415.0
16106186565.5	416.0
16106186565.5	417.0
16106186565.5	418.0
16106186565.5	419.0
16106186565.5	420.0
16106186565.5	421.0
16106070802.5	422.0
16106070802.5	423.0
16106070802.5	424.0
16106070802.5	425.0
16102478620.5	426.0
16088484209.5	427.0
16088484209.5	428.0
16088484209.5	429.0
16088484209.5	430.0
16088484209.5	431.0
16088484209.5	432.0
16088484209.5	433.0
16088484209.5	434.0
16088484209.5	435.0
16083796354.5	436.0
16083796354.5	437.0
16083796354.5	438.0
16083796354.5	439.0
16083796354.5	440.0
16083796354.5	441.0
16083796354.5	442.0
16083796354.5	443.0
16083796354.5	444.0
16083796354.5	445.0
16081349922.0	446.0
16081349922.0	447.0
16081349922.0	448.0
16081349922.0	449.0
16081349922.0	450.0
16081349922.0	451.0
16081349922.0	452.0
16081349922.0	453.0
16081349922.0	454.0
16081349922.0	455.0
16081349922.0	456.0
16081349922.0	457.0
16081349922.0	458.0
16081349922.0	459.0
16078098744.0	460.0
16078098744.0	461.0
16078098744.0	462.0
16078098744.0	463.0
16078098744.0	464.0
16078098744.0	465.0
16078098744.0	466.0
16078098744.0	467.0
16078098744.0	468.0
16078098744.0	469.0
16078098744.0	470.0
16078098744.0	471.0
16078098744.0	472.0
16078098744.0	473.0
16078098744.0	474.0
16078098744.0	475.0
16078098744.0	476.0
16078098744.0	477.0
16067442881.0	478.0
16067442881.0	479.0
16067442881.0	480.0
16058361282.0	481.0
16058361282.0	482.0
16058361282.0	483.0
16057692780.0	484.0
16055394211.5	485.0
16055394211.5	486.0
16055394211.5	487.0
16051950013.5	488.0
16051950013.5	489.0
16051950013.5	490.0
16051950013.5	491.0
16051950013.5	492.0
16051950013.5	493.0
16051950013.5	494.0
