error	run_time
681442.0	0.0
667301.0	0.004657745361328125
648138.0	0.007960081100463867
644174.0	0.011034965515136719
639405.0	0.014091968536376953
633741.0	0.016817808151245117
632866.0	0.0195157527923584
626026.0	0.022242069244384766
609236.0	0.025068044662475586
604012.0	0.028039932250976562
598085.0	0.030922889709472656
590195.0	0.034490108489990234
581372.0	0.038416147232055664
571483.0	0.04272603988647461
569581.0	0.04568195343017578
564121.0	0.04960513114929199
561506.0	0.05384397506713867
557989.0	0.05738210678100586
549634.0	0.06050395965576172
541288.0	0.06443285942077637
535964.0	0.0671989917755127
530416.0	0.0699009895324707
528340.0	0.07253289222717285
526791.0	0.07514786720275879
519009.0	0.07773590087890625
513136.0	0.0806269645690918
502855.0	0.08398890495300293
500322.0	0.08661985397338867
498135.0	0.08964800834655762
496910.0	0.09222912788391113
492945.0	0.0949099063873291
486126.0	0.09750699996948242
484046.0	0.1004018783569336
484036.0	0.10355997085571289
482007.0	0.10725903511047363
481581.0	0.11004209518432617
478672.0	0.11275100708007812
476416.0	0.11553096771240234
475057.0	0.11835098266601562
473076.0	0.1210169792175293
472646.0	0.12369203567504883
470727.0	0.12634491920471191
466791.0	0.12900590896606445
461703.0	0.1316070556640625
461070.0	0.13422489166259766
458319.0	0.13691282272338867
457760.0	0.13955974578857422
454420.0	0.14214801788330078
453569.0	0.14474272727966309
448128.0	0.14732789993286133
442779.0	0.14990997314453125
442649.0	0.15250301361083984
442649.0	0.15482592582702637
441629.0	0.1574110984802246
440231.0	0.1599428653717041
440231.0	0.16231489181518555
440231.0	0.16459989547729492
440231.0	0.16682887077331543
438617.0	0.1695101261138916
437409.0	0.17229580879211426
437409.0	0.1747429370880127
437409.0	0.17697501182556152
437409.0	0.17918992042541504
437234.0	0.18193674087524414
437234.0	0.18448090553283691
436824.0	0.18735408782958984
435481.0	0.19029593467712402
434228.0	0.1928999423980713
434228.0	0.19525384902954102
434228.0	0.19759511947631836
432742.0	0.20026898384094238
431850.0	0.20285892486572266
430243.0	0.20551800727844238
429940.0	0.20814895629882812
428258.0	0.21077394485473633
428117.0	0.21334195137023926
427546.0	0.21593284606933594
427153.0	0.21855783462524414
427153.0	0.2207779884338379
426546.0	0.22335004806518555
426546.0	0.2257089614868164
426261.0	0.22825098037719727
424768.0	0.23089289665222168
423689.0	0.2335200309753418
423689.0	0.2357349395751953
423316.0	0.23845505714416504
423316.0	0.24071788787841797
423316.0	0.2429959774017334
423316.0	0.24524307250976562
